Aaliyah,Alaiyah
Mark,Marko
Martin,Marten
Martin,Martino
Martin,Marty
Matthew,Mat
Matthew,Matheus
Matthew,Mathew
Matthew,Mathews
Matthew,Mathias
Matthew,Matt
Matthew,Matteo
Matthew,Mattheus
Matthew,Mattheo
Maurice,Maurits
Maurice,Morey
Maxwell,Max
Maxwell,Maxim
Maxwell,Maximillan
Maxwell,Maxin
Michael,Micah
Mohammad,Mohamad
Mohammad,Mouhammad
Neal,Gneil
Neal,Gniel
Neal,Neale
Neal,Neil
Neal,Neill
Neal,Niels
Neville,Nevil
Neville,Nevile
Nicholas,Claus
Nicholas,Cole
Nicholas,Klaus
Nicholas,Nic
Nicholas,Nichalas
Nicholas,Nick
Nicholas,Nicklaas
Nicholas,Nicklas
Nicholas,Nicol
Nicholas,Nicolaas
Nicholas,Nicolas
Nicholas,Nicolhas
Nicholas,Nicolo
Nicholas,Nikolaus
Noel,Noelland
Noel,Nolan
Noel,Nowell
Norman,Norm
Norman,Normand
Oliver,Olie
Oliver,Ollie
Oscar,Ossie
Oscar,Oskar
Patrick,Paddy
Patrick,Pat
Paul,Pablo
Paul,Paolo
Peter,Pedro
Peter,Pete
Peter,Petee
Peter,Pieter
Peter,Petro
Peter,Piedro
Peter,Perre
Peter,Pietro
Percy,Perc
Percy,Perceval
Percy,Percival
Percy,Piesse
Phillip,Felip
Phillip,Felipa
Phillip,Filip
Phillip,Filippo
Phillip,Phil
Phillip,Philip
Phillip,Philipp
Phillip,Philipps
Phillip,Phillipp
Phillip,Phillipps
Phillip,Phillips
Ralph,Raoul
Ralph,Rolf
Randolph,Randall
Randolph,Randell
Randolph,Randolf
Randolph,Randy
Raphael,Ralphael
Raphael,Raphel
Raphael,Raph
Raymond,Rae
Raymond,Raemonde
Raymond,Raman
Raymond,Ramie
Raymond,Ramon
Raymond,Ramond
Raymond,Ray
Raymond,Raye
Raymond,Raymand
Raymond,Raymen
Raymond,Rayment
Raymond,Raymon
Raymond,Raymonde
Raymond,Raymont
Raymond,Raymund
Raymond,Rey
Raymond,Reymond
Reginald,Reg
Reginald,Reggie
Reginald,Regginald
Reginald,Reginal
Reginald,Reginold
Reginald,Regional
Reginald,Reinald
Reginald,Renato
Reginald,Rheinholdt
Reginald,Rignold
Reginald,Rinaldo
Reuben,Ruben
Richard,Rich
Richard,Dick
Richard,Reich
Richard,Ricard
Richard,Riccardo
Richard,Richards
Richard,Richerd
Richard,Richie
Richard,Rick
Richard,Ritch
Richard,Ritchad
Richard,Ritchard
Richard,Ritchie
Riley,Ryley
Robert,Bob
Robert,Bobby
Robert,Rob
Robert,Robb
Robert,Robbie
Robert,Robby
Robert,Roberto
Robert,Robt
Robert,Rupert
Robin,Robbin
Rodney,Rod
Roger,Rodger
Roger,Rog
Roland,Orlando
Roland,Roalan
Roland,Rolando
Roland,Rolland
Roland,Rollie
Roland,Rollo
Roland,Rolly
Roland,Rowland
Ronald,Ron
Ronald,Ronie
Ronald,Ronney
Ronald,Ronnie
Ronald,Ronny
Rudolph,Dolf
Rudolph,Rolph
Rudolph,Rud
Rudolph,Ruddy
Rudolph,Rudi
Rudolph,Rudolf
Rudolph,Rudolfo
Rudolph,Rudy
Russell,Rusell
Russell,Russ
Russell,Russel
Russell,Russyl
Russell,Rustell
Samuel,Samie
Samuel,Sammy
Samuel,Samual
Samuel,Samir
Sebastian,Seb
Shane,Shaun
Shane,Shawn
Shane,Sean
Siegfried,Seigeried
Siegfried,Seigried
Siegfried,Siegfrid
Siegfried,Siegried
Siegfried,Sigfried
Siegmund,Sigmund
Siegmund,Zigmund
Sidney,Sid
Sidney,Siddney
Sidney,Syd
Sidney,Sydenham
Sidney,Sydmin
Sidney,Sydney
Silvester,Sylvester
Simon,Simeon
Simon,Simmie
Solomon,Sol
Stanley,Stan
Stephen,Steven
Stephen,Etienne
Stephen,Stefano
Stephen,Stephene
Stephen,Stevan
Stephen,Steve
Stephen,Stiven
Stephen,Stephan
Stephen,Stefan
Stephen,Stefen
Stuart,Stew
Stuart,Steward
Stuart,Stewart
Stuart,Stu
Terrence,Terance
Terrence,Terence
Terrence,Terrance
Terrence,Terrens
Terrence,Terry
Thaddeus,Tad
Thaddeus,Taddeo
Theodore,Theo
Theodore,Theodor
Theodore,Theodorius
Theodore,Theodorus
Theodore,Theodourus
Theodore,Theofilos
Theodore,Theophilus
Thomas,Tam
Thomas,Tom
Thomas,Tomasco
Thomas,Tomasz
Thomas,Tommie
Thomas,Tommy
Thomas,Tomme
Thor,Tor
Timothy,Tim
Timothy,Timmy
Timothy,Timotheo
Tobias,Tobie
Tobias,Toby
Todd,Tod
Travis,Traver
Travis,Travers
Tristan,Trystan
Troy,Troi
Taylor,Tayler
Taylor,Tyler
Tyron,Tyrone
Valentin,Valda
Valentin,Valentine
Valentin,Valentino
Valerian,Velerijan
Victor,Vic
Victor,Vittorio
Vincent,Vin
Vincent,Vince
Vincent,Vincente
Vincent,Vinnie
Walentin,Walenty
Wallace,Wal
Wallace,Walch
Wallace,Walley
Wallace,Wallie
Wallace,Wallis
Wallace,Wally
Wallace,Walsh
Wallace,Welch
Wallace,Welsh
Walter,Gualtiero
Walter,Walt
Walter,Wat
Warwick,Warrick
Wesley,Wes
Wesley,Wess
Wesley,Westleigh
Wesley,Westley
William,Bill
William,Billie
William,Billy
William,Guglielmo
William,Vassileos
William,Wiley
William,Wilheim
William,Wilhelm
William,Wilie
William,Wil
William,Will
William,Willem
William,Willi
William,Willy
Winifred,Winnie
Winifred,Winny
Woorward,Woodworth
Yousef,Youssef
Yvan,Ivan
Zachary,Zac
Zachary,Zach
Zachary,Zack
Zachary,Zachariah
Zachary,Zakariah
